Z,dT,Fitness,Fitness_ref,Precision,Precision_ref,Generality,Generality_ref,Simplicity,RISK_AT_0.9,RISK_A_0.9
100,259200,0.9998919870705356,0.34051057020460307,1.0,0.7520325203252033,0.9032799943878057,0.8781364101745118,0.7142857142857143,1.0,0.0017331022530329288
110,259200,0.9998830963555426,0.34051057020460307,1.0,0.7520325203252033,0.8936964056908956,0.8781364101745118,0.7142857142857143,1.0,0.005291005291005291
120,259200,0.9998763012397102,0.3337766540417697,1.0,0.754696334123655,0.9086677851856622,0.8705239927976083,0.7599999999999999,1.0,0.0017889087656529517
130,259200,0.9998689355097825,0.3337766540417697,1.0,0.754696334123655,0.9018091782678722,0.8705239927976083,0.7599999999999999,1.0,0.0018214936247723133
140,259200,0.9998543036575726,0.3337766540417697,1.0,0.754696334123655,0.8253225756482235,0.8705239927976083,0.7599999999999999,1.0,0.0
150,259200,1.0,0.16446402349486045,1.0,1.0,0.9562730530553374,0.961424162509477,1.0,1.0,0.0
160,259200,1.0,0.16446402349486045,1.0,1.0,0.9558489214311652,0.961424162509477,1.0,1.0,0.0
170,259200,1.0,0.16446402349486045,1.0,1.0,0.955412203793229,0.961424162509477,1.0,1.0,0.0
180,259200,1.0,0.16446402349486045,1.0,1.0,0.9549622650888955,0.961424162509477,1.0,1.0,0.0
183,259200,1.0,0.16446402349486045,1.0,1.0,0.9548246048547374,0.961424162509477,1.0,1.0,0.0
190,259200,1.0,0.16446402349486045,1.0,1.0,0.954498424480671,0.961424162509477,1.0,1.0,0.0
200,259200,1.0,0.16446402349486045,1.0,1.0,0.9539224322415909,0.961424162509477,1.0,1.0,0.0
210,259200,1.0,0.16446402349486045,1.0,1.0,0.9505531823565851,0.961424162509477,1.0,1.0,0.0
220,259200,1.0,0.16446402349486045,1.0,1.0,0.9484973797375396,0.961424162509477,1.0,1.0,0.0
230,259200,1.0,0.16446402349486045,1.0,1.0,0.9466239487316376,0.961424162509477,1.0,1.0,0.0
240,259200,1.0,0.16446402349486045,1.0,1.0,0.9451178700051548,0.961424162509477,1.0,1.0,0.0
250,259200,1.0,0.16446402349486045,1.0,1.0,0.942926985446465,0.961424162509477,1.0,1.0,0.0
260,259200,1.0,0.16446402349486045,1.0,1.0,0.9403450013728106,0.961424162509477,1.0,1.0,0.0
270,259200,1.0,0.16446402349486045,1.0,1.0,0.9379826327053957,0.961424162509477,1.0,1.0,0.0
280,259200,1.0,0.16446402349486045,1.0,1.0,0.935981560033552,0.961424162509477,1.0,1.0,0.0
290,259200,1.0,0.16446402349486045,1.0,1.0,0.932115576669787,0.961424162509477,1.0,1.0,0.0
