Z,dT,Fitness,Fitness_ref,Precision,Precision_ref,Generality,Generality_ref,Simplicity,RISK_AT_0.9,RISK_A_0.9
100,259200,0.9999370963252706,0.39474104382070274,1.0,0.8403214535290007,0.9497048514256569,0.9579669929176492,0.7599999999999999,1.0,0.001488095238095238
110,259200,0.9999345324360391,0.39474104382070274,1.0,0.8403214535290007,0.9489021142788162,0.9579669929176492,0.7599999999999999,1.0,0.001488095238095238
120,259200,0.9999378947176096,0.3885599105205596,1.0,0.8601122427769694,0.9472885873930144,0.8638386349882207,0.8181818181818181,1.0,0.001488095238095238
130,259200,0.9999390584352296,0.3885599105205596,1.0,0.8601122427769694,0.9458549488704933,0.8638386349882207,0.8181818181818181,1.0,0.001488095238095238
140,259200,0.9999408408819602,0.3885599105205596,1.0,0.8601122427769694,0.941391302719014,0.8638386349882207,0.8181818181818181,1.0,0.001488095238095238
150,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
160,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
170,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
180,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
183,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
190,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
200,259200,1.0,0.16446402349486045,1.0,1.0,0.961424162509477,0.961424162509477,1.0,1.0,0.0
210,259200,1.0,0.16446402349486045,1.0,1.0,0.9597741006645435,0.961424162509477,1.0,1.0,0.0
220,259200,1.0,0.16446402349486045,1.0,1.0,0.9593442185909129,0.961424162509477,1.0,1.0,0.0
230,259200,1.0,0.16446402349486045,1.0,1.0,0.95847726007313,0.961424162509477,1.0,1.0,0.0
240,259200,1.0,0.16446402349486045,1.0,1.0,0.9581513024681313,0.961424162509477,1.0,1.0,0.0
250,259200,1.0,0.16446402349486045,1.0,1.0,0.9575905535160014,0.961424162509477,1.0,1.0,0.0
260,259200,1.0,0.16446402349486045,1.0,1.0,0.9569668517088065,0.961424162509477,1.0,1.0,0.0
270,259200,1.0,0.16446402349486045,1.0,1.0,0.9565217391304348,0.961424162509477,1.0,1.0,0.0
280,259200,1.0,0.16446402349486045,1.0,1.0,0.9562730530553374,0.961424162509477,1.0,1.0,0.0
290,259200,1.0,0.16446402349486045,1.0,1.0,0.9558918908608769,0.961424162509477,1.0,1.0,0.0
