Z,dT,Fitness,Precision,Generality,Simplicity
10,259200,0.9998234034418884,0.16066030520450159,0.8558671807202766,0.6363636363636362
35,259200,0.9998774538558896,0.44817420088962445,0.8311473923678108,0.6097560975609756
60,259200,0.999884100669173,0.7353451266042317,0.8967746879345326,0.6428571428571429
85,259200,0.999871636014136,0.7789162561576355,0.8769921328192894,0.7000000000000001
110,259200,0.9998830963555426,1.0,0.8936964056908956,0.7142857142857143
135,259200,0.9998605093629344,1.0,0.8780590898440879,0.7599999999999999
160,259200,1.0,1.0,0.9558489214311652,1.0
183,259200,1.0,1.0,0.9548246048547374,1.0
185,259200,1.0,1.0,0.9547321269787408,1.0
237,259200,1.0,1.0,0.9456874553406431,1.0
259,259200,1.0,1.0,0.9405561701722236,1.0
321,259200,1.0,1.0,0.29289321881345254,1.0
