Z,dT,Fitness,Precision,Generality,Simplicity
0,base,0.9998544123033136,0.10683279104832955,0.8713091299380341,0.6318407960199005
10,259200,0.9998144097892068,0.2791222247285148,0.8822386203422581,0.6585365853658536
20,259200,0.9998160495001774,0.28216946458726533,0.8707809940002749,0.6448598130841122
30,259200,0.999805025484075,0.4736943072274711,0.8426999641387506,0.6774193548387096
40,259200,0.9998403308522857,0.6213491614848314,0.849839974984619,0.6969696969696969
50,259200,0.9998409309945604,0.6989247311827957,0.9262999533720723,0.7241379310344828
60,259200,0.9998585590673471,0.7697475098447997,0.9302271209556103,0.7391304347826086
70,259200,0.9998902307370049,0.6423562412342216,0.8865916259225333,0.7272727272727273
80,259200,0.9998939310259064,0.6213213213213213,0.8763003992011833,0.7272727272727273
90,259200,0.9999568572055682,0.5709459459459459,0.8686331137094643,0.7777777777777779
100,259200,0.9999569353334155,0.5749128919860627,0.8690133471253275,0.7777777777777779
110,259200,0.9999569264413204,0.5734297333935834,0.8671964891974939,0.7777777777777779
120,259200,0.9999275527797282,0.617872340425532,0.8052866411437526,0.7499999999999999
130,259200,0.9999569863242771,0.5768321513002364,0.8667030174767998,0.7777777777777779
140,259200,0.9999569751542483,0.5753148614609571,0.8639406282433486,0.7777777777777779
150,259200,0.9999570545056251,0.57984496124031,0.8642651078047803,0.7777777777777779
175,259200,0.9999733238989347,1.0,0.931290152075188,1.0
183,259200,0.9999732003923463,1.0,0.9284974143354863,1.0
