Z,dT,Fitness,Fitness_ref,Precision,Precision_ref,Generality,Generality_ref,Simplicity,RISK_AT_0.9,RISK_A_0.9
10,259200,0.9997636224131508,0.9782598555197868,0.27326191976475533,0.15731568447819722,0.85985097259186,0.771557331725941,0.6373056994818652,1.0,0.13279132791327913
20,259200,0.9998032523850162,0.934622453468527,0.35716557976777474,0.18402845639682597,0.8297422198710361,0.7474497082349236,0.6432432432432433,1.0,0.10802469135802469
30,259200,0.9998243179597938,0.7252408374259727,0.5345856741573034,0.17508103059935176,0.804466088045616,0.8423939137007097,0.6825396825396826,1.0,0.058823529411764705
40,259200,0.9998432449646351,0.5915288217122858,0.5485244904167934,0.23186613313932336,0.7166740441333797,0.8213398753637521,0.7011494252873564,1.0,0.031007751937984496
50,259200,0.9998460118440459,0.5032716847815312,0.7446471054718478,0.3431678690642834,0.8857106119804936,0.8502594393197324,0.7241379310344828,1.0,0.012875536480686695
60,259200,0.9998921610165862,0.3702310062192672,0.6821384169084128,0.5128741551335694,0.8826173807604206,0.8111727625227173,0.7272727272727273,1.0,0.009852216748768473
70,259200,0.9998951669969578,0.3702310062192672,0.611441647597254,0.5128741551335694,0.8171099532956044,0.8111727625227173,0.7272727272727273,1.0,0.011111111111111112
80,259200,0.999932699591357,0.4137331348602239,0.5727470141150923,0.5454389868218381,0.8082620144545094,0.8588888073769948,0.7560975609756097,1.0,0.005952380952380952
90,259200,0.9999570125351754,0.24872643483513535,0.7954545454545454,0.8121996303142329,0.757405349019751,0.7917437282217172,0.7777777777777779,1.0,0.0
100,259200,0.9999117620152637,0.20124834007064996,0.7466329966329966,0.7142392717815345,0.7116970268971858,0.7463576661068207,0.7499999999999999,1.0,0.0
110,259200,0.999891145802761,0.2012466934162015,0.7765118317265557,0.6373658253553816,0.6744939889263362,0.7115861780748696,0.7297297297297298,1.0,0.0
120,259200,0.9999428386064587,0.12673366682218745,0.8172458172458172,0.7686703096539163,0.8034764004157018,0.758501896112216,0.8181818181818181,1.0,0.0
130,259200,0.9999692921365035,0.16694547959072892,0.7894736842105263,0.8887952822240943,0.8844488037752052,0.8310809296774672,0.8823529411764706,1.0,0.0
140,259200,0.9999675191135419,0.16694547959072892,0.7966101694915254,0.8887952822240943,0.86151280726394,0.8310809296774672,0.8823529411764706,1.0,0.0
150,259200,0.9999616449389812,0.16694547959072892,0.8217821782178218,0.8887952822240943,0.8042290429354857,0.8310809296774672,0.8823529411764706,1.0,0.0
160,259200,0.9999734467177318,0.12734829487856136,1.0,0.9993581514762516,0.8653058756486214,0.9446351264334322,1.0,1.0,0.0
170,259200,0.9999736611023141,0.12734829487856136,1.0,0.9993581514762516,0.8302923972027797,0.9446351264334322,1.0,1.0,0.0
183,259200,0.999971428979586,0.12734829487856136,1.0,0.9993581514762516,0.0585786437626904,0.9446351264334322,1.0,1.0,1.0
