Z,dT,Fitness,Fitness_ref,Precision,Precision_ref,Generality,Generality_ref,Simplicity,RISK_AT_0.9,RISK_A_0.9
10,259200,0.9998144097892068,0.9776240413728173,0.2791222247285148,0.2182265599923917,0.8822386203422581,0.8068247128517027,0.6585365853658536,1.0,0.14016172506738545
20,259200,0.9998160495001774,0.9668108329302864,0.28216946458726533,0.15963824814551364,0.8707809940002749,0.7548775394791084,0.6448598130841122,1.0,0.14324324324324325
30,259200,0.999805025484075,0.8288814660657102,0.4736943072274711,0.17508103059935176,0.8426999641387506,0.8091805028524051,0.6774193548387096,1.0,0.0807799442896936
40,259200,0.9998403308522857,0.6351877871465721,0.6213491614848314,0.23186613313932336,0.849839974984619,0.8517619665875169,0.6969696969696969,1.0,0.03880597014925373
50,259200,0.9998409309945604,0.5032716847815312,0.6989247311827957,0.3431678690642834,0.9262999533720723,0.8502594393197324,0.7241379310344828,1.0,0.01818181818181818
60,259200,0.9998585590673471,0.3750206755776454,0.7697475098447997,0.45154434684046474,0.9302271209556103,0.8262439308874616,0.7391304347826086,1.0,0.00625
70,259200,0.9998902307370049,0.3702310062192672,0.6423562412342216,0.5128741551335694,0.8865916259225333,0.8111727625227173,0.7272727272727273,1.0,0.003472222222222222
80,259200,0.9998939310259064,0.3702310062192672,0.6213213213213213,0.5128741551335694,0.8763003992011833,0.8111727625227173,0.7272727272727273,1.0,0.011363636363636364
90,259200,0.9999568572055682,0.2717527484606258,0.5709459459459459,0.7456715021057557,0.8686331137094643,0.8643621390901706,0.7777777777777779,1.0,0.004048582995951417
100,259200,0.9999569353334155,0.2717527484606258,0.5749128919860627,0.7456715021057557,0.8690133471253275,0.8643621390901706,0.7777777777777779,1.0,0.004081632653061225
110,259200,0.9999569264413204,0.2717527484606258,0.5734297333935834,0.7456715021057557,0.8671964891974939,0.8643621390901706,0.7777777777777779,1.0,0.004273504273504274
120,259200,0.9999275527797282,0.2365997130051779,0.617872340425532,0.6861141011840689,0.8052866411437526,0.8034119272072537,0.7499999999999999,1.0,0.004366812227074236
130,259200,0.9999569863242771,0.2717527484606258,0.5768321513002364,0.7456715021057557,0.8667030174767998,0.8643621390901706,0.7777777777777779,1.0,0.0043859649122807015
140,259200,0.9999569751542483,0.2717527484606258,0.5753148614609571,0.7456715021057557,0.8639406282433486,0.8643621390901706,0.7777777777777779,1.0,0.0047169811320754715
150,259200,0.9999570545056251,0.2717527484606258,0.57984496124031,0.7456715021057557,0.8642651078047803,0.8643621390901706,0.7777777777777779,1.0,0.0047169811320754715
160,259200,0.9999733151932241,0.12734829487856136,1.0,0.9993581514762516,0.9332823708637185,0.9446351264334322,1.0,1.0,0.0
170,259200,0.9999733482486314,0.12734829487856136,1.0,0.9993581514762516,0.9317742534135144,0.9446351264334322,1.0,1.0,0.0
183,259200,0.9999732003923463,0.12734829487856136,1.0,0.9993581514762516,0.9284974143354863,0.9446351264334322,1.0,1.0,0.0
