Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
0,base,0.973429613099393,0.973429613099393,0.12905195828600968,0.12905195828600968,0.9475973827083886,0.9475973827083886,0.6111111111111112,1.0,1.0,1.0,0.008787346221441126,0.0213188660502789,0.02193015970046611
2,86400,0.9999978629606923,0.9999980329459695,0.14649646618662637,0.1057671836360361,0.9603424980138847,0.9528756043898797,0.5957446808510639,1.0,1.0,1.0,0.010697638878276152,0.023611217238480937,0.024298922594941545
2,259200,0.9577085891981151,0.9576692164732401,0.17754626208441338,0.11558625900883268,0.9517031746240923,0.9438142096722364,0.607843137254902,1.0,1.0,1.0,0.010009933521815543,0.02322915870711393,0.023840452357301138
2,0,0.9665754579802259,0.9665780976059912,0.147674850843303,0.11610587971537112,0.9035519689147086,0.9258378430319105,0.6186046511627906,1.0,1.0,1.0,0.008634522808894323,0.021395277756552304,0.02170092458164591
3,86400,1.0,0.9999896166078461,0.2079338573353623,0.14316231738213925,0.9663227260855876,0.9476837655464923,0.6119402985074627,1.0,1.0,1.0,0.012837166653931382,0.02605639183922977,0.026514862076870177
3,259200,0.999997988595785,0.9999981679963621,0.15977892848786557,0.11497701953170081,0.9649081491415834,0.9512336755720098,0.6000000000000001,1.0,1.0,1.0,0.014059753954305799,0.025445098189042562,0.026209215251776573
3,0,0.9667693382001499,0.9667414960089271,0.166099675181149,0.12162178057427753,0.9563197492149422,0.9344598248310818,0.6195121951219513,1.0,1.0,1.0,0.008863757927714527,0.0211660426377321,0.021548101169099106
4,86400,1.0,0.9999891137402448,0.2111697061279898,0.14369224793864854,0.9642665422070895,0.9457153928445462,0.6119402985074627,1.0,1.0,1.0,0.012531519828837778,0.025750745014136166,0.026362038664323375
4,259200,0.9999980607493953,0.999998298118892,0.1609610229721764,0.11497701953170081,0.9667683951607491,0.9519222656437399,0.6045197740112995,1.0,1.0,1.0,0.012455108122564377,0.02613280354550317,0.02682050890196378
4,0,0.9774861721863549,0.9776246804773878,0.18142055635887955,0.1306009111192371,0.9701763781108452,0.9560884201902099,0.616580310880829,1.0,1.0,1.0,0.008787346221441126,0.021242454344005502,0.021777336287919308
