Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
0,base,0.973429613099393,0.973429613099393,0.12905195828600968,0.12905195828600968,0.9475973827083886,0.9475973827083886,0.6111111111111112,1.0,1.0,1.0,0.008405287690074119,0.021395277756552304,0.02193015970046611
2,86400,0.9715444102644386,0.9716125650294543,0.15771822492406606,0.1252849866076602,0.9790004702564075,0.9710399708088799,0.6196319018404908,1.0,1.0,1.0,0.008634522808894323,0.021548101169099106,0.022388629938106516
2,259200,0.9708913881850478,0.9709017769657395,0.14833312219356254,0.12530412241590727,0.9872046926375752,0.9873663334468434,0.6153846153846154,1.0,1.0,1.0,0.008328875983800717,0.021395277756552304,0.02185374799419271
3,86400,1.0,1.0,0.1456375236939388,0.11172133926532757,0.9746201386792289,0.9673426567311358,0.6000000000000001,1.0,1.0,1.0,0.009627874990448537,0.023381982119660732,0.023840452357301138
3,259200,0.9999988496292931,0.9999988768032924,0.13586108819869158,0.11173094955520413,0.9734110523321673,0.9681884923504727,0.6082474226804123,1.0,1.0,1.0,0.007870405746160311,0.020096278749904484,0.020631160693818294
4,86400,0.9999987441587684,0.9999988417520584,0.14398742702974976,0.11173094955520413,0.9748040501439239,0.9677483989701059,0.6041666666666666,1.0,1.0,1.0,0.009933521815542141,0.02399327576984794,0.02452815771376175
4,259200,0.9999987764590725,0.9999988247696254,0.13972277143659728,0.11173094955520413,0.9764229384710131,0.967804392880425,0.6041666666666666,1.0,1.0,1.0,0.008558111102620922,0.019867043631084283,0.02040192557499809
5,86400,0.9921194195046987,0.9781160996521848,0.15735069380271305,0.12763601155989346,0.9819611212897373,0.9708267265087376,0.6149068322981366,1.0,1.0,1.0,0.010468403759455949,0.02452815771376175,0.025139451363948958
5,259200,0.9999987569656538,0.9999988247696254,0.1397972928670601,0.11173094955520413,0.9767971630545372,0.967804392880425,0.6041666666666666,1.0,1.0,1.0,0.008099640864980514,0.020249102162451287,0.020783984106365096
15,86400,1.0,0.993378347339783,0.21589736091606504,0.15243823245426347,0.9559806984393125,0.9043196464878915,0.6387665198237886,1.0,1.0,1.0,0.006724230152059295,0.01619928172996103,0.01688698708642164
15,259200,0.9617571913511309,0.9630260915231442,0.19722774631322226,0.125554554269393,0.9496775472199777,0.9380678705331424,0.6296296296296295,1.0,1.0,1.0,0.014365400779399405,0.026591273783143576,0.026973332314510583
30,86400,1.0,0.9844302262345634,0.5394770011596054,0.18472166797709966,0.9437341854768255,0.833070358039292,0.6488549618320612,1.0,1.0,1.0,0.003210518269377771,0.00825561840697141,0.008561382051674057
30,259200,1.0,0.9928964898217026,0.23155786194724903,0.15287344881955756,0.9460313249052121,0.9073310542947657,0.6428571428571429,1.0,1.0,1.0,0.005578054557958279,0.01619928172996103,0.016963398792695043
45,86400,1.0,0.9769478322419839,0.4976733357584576,0.2066747834199505,0.9493123536115442,0.8885282879582632,0.6448598130841122,1.0,1.0,1.0,0.0016880227115783012,0.0031458605079413794,0.0036829586434435663
45,259200,1.0,0.9868102876258222,0.35696174001239644,0.21289870850855175,0.9443479918246409,0.9112416383118567,0.6470588235294118,1.0,1.0,1.0,0.0059601130893252845,0.011690991059830366,0.011767402766103767
60,86400,1.0,0.9399787602155547,0.5274380262868368,0.26046192838809823,0.9383576528622959,0.8170976010447059,0.6438356164383561,1.0,1.0,1.0,0.0007027406886858749,0.0012493167798859998,0.0013273990786288748
60,259200,1.0,0.9791959054539576,0.5756702604204185,0.2395215468913885,0.9655792182978672,0.9149443162388098,0.649122807017544,1.0,1.0,1.0,0.002597998013295637,0.004202643845037059,0.004508290670130664
66,86400,1.0,0.9397842780667487,0.569637035427081,0.2981527332702165,0.9447655266760557,0.8411743531015069,0.6470588235294118,1.0,1.0,1.0,0.0001589067217543302,0.0006356268870173208,0.0007945336087716511
66,259200,1.0,0.9768146294373677,0.5722861282786764,0.2395215468913885,0.9571359675412516,0.912365252644256,0.649122807017544,1.0,1.0,1.0,0.0022923511882020327,0.0032857033697562465,0.0035149384885764497
131,86400,1.0,1.0,1.0,1.0,0.9807299951796077,0.9912586210313589,1.0,1.0,1.0,1.0,0.0,0.0,0.0
131,259200,1.0,0.9376373525883652,0.9328364268199607,0.38805752472823685,0.9773860280620922,0.8465340741153999,0.6603773584905661,1.0,1.0,1.0,7.641170627340109e-05,0.0005348819439138076,0.0007641170627340108
